,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_non_overlapping_value,first_no_max_datetime,second_max_non_overlapping_value,second_no_max_datetime,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
371333,41,51,80,42101,1,45.496641,-122.602877,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2000,Parts per million,No Events,4316,49,Y,179,366,0,0,0.0,0.0,Certified,0,0.593095,0.537031,4.1,18-02-2000 08:00,4.0,18-02-2000 09:00,3.9,18-02-2000 07:00,3.8,18-02-2000 10:00,4.1,18-02-2000 08:00,3.8,12-11-2000 01:00,2.7,2.3,1.7,1.2,0.8,0.4,0.1,Portland - SE Lafayette,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,Portland-Vancouver-Hillsboro OR-WA,18-04-2016
372744,4,13,16,42101,1,33.49462,-112.13098,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2004,Parts per million,No Events,8536,97,Y,355,366,0,0,0.0,0.0,Certified,0,0.995525,0.769378,4.7,06-01-2004 10:00,4.7,06-01-2004 11:00,4.6,06-01-2004 09:00,4.6,12-12-2004 02:00,4.7,06-01-2004 10:00,4.6,12-12-2004 02:00,3.5,3.2,2.6,2.1,1.3,0.7,0.3,WEST INDIAN SCHOOL RD,3315 W INDIAN SCHOOL RD PHOENIX,Arizona,Maricopa,Phoenix,Phoenix-Mesa-Scottsdale AZ,13-04-2016
373064,6,37,2,42101,1,34.1365,-117.92391,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2010,Parts per million,No Events,8595,98,Y,353,365,0,0,0.0,0.0,Certification not required,0,0.400349,0.159626,1.4,14-12-2010 10:00,1.4,14-12-2010 11:00,1.3,10-12-2010 11:00,1.3,10-12-2010 12:00,1.4,14-12-2010 10:00,1.3,10-12-2010 11:00,0.9,0.8,0.7,0.6,0.5,0.4,0.2,Azusa,803 N. LOREN AVE. AZUSA,California,Los Angeles,Azusa,Los Angeles-Long Beach-Anaheim CA,10-04-2016
378041,25,25,2,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1994,Parts per million,No Events,8610,98,Y,357,365,0,0,0.0,0.0,Certified,0,1.14439,0.585708,3.7,07-03-1994 22:00,3.7,23-12-1994 02:00,3.7,23-12-1994 03:00,3.7,23-12-1994 04:00,3.7,07-03-1994 22:00,3.7,23-12-1994 02:00,3.0,2.6,2.2,1.9,1.5,1.0,0.5,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,Boston-Cambridge-Newton MA-NH,20-04-2016
381099,4,13,3003,42101,1,33.47968,-111.91721,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2004,Parts per million,No Events,4911,56,Y,204,366,0,0,0.0,0.0,Certified,0,0.640073,0.418126,2.4,08-01-2004 00:00,2.4,13-12-2004 00:00,2.4,13-12-2004 01:00,2.3,07-01-2004 23:00,2.4,08-01-2004 00:00,2.4,13-12-2004 00:00,1.9,1.7,1.4,1.2,0.9,0.6,0.1,SOUTH SCOTTSDALE,2857 N MILLER RD-S SCOTTSDALE STN,Arizona,Maricopa,Scottsdale,Phoenix-Mesa-Scottsdale AZ,13-04-2016
383717,8,77,18,42101,1,39.064289,-108.56155,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2016,Parts per million,No Events,7768,88,Y,308,366,0,0,0.0,0.0,Certified,0,0.26716,0.132088,1.3,12-12-2016 23:00,1.3,13-12-2016 00:00,1.2,13-12-2016 01:00,1.1,12-12-2016 22:00,1.3,12-12-2016 23:00,1.0,12-12-2016 20:00,0.7,0.6,0.5,0.4,0.3,0.2,0.1,GRAND JUNCTION - PITKIN,645 1/4 PITKIN AVE.,Colorado,Mesa,Grand Junction,Grand Junction CO,15-02-2017
389867,39,49,5,42101,1,40.060124,-82.976857,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1991,Parts per million,No Events,8684,99,Y,362,365,0,0,0.0,0.0,Certification not required,0,1.111642,0.770371,6.6,27-12-1991 03:00,6.6,27-12-1991 04:00,6.5,23-11-1991 20:00,6.5,27-12-1991 02:00,6.6,27-12-1991 03:00,6.5,23-11-1991 20:00,3.6,3.0,2.5,2.0,1.4,1.0,0.3,MORSE_RD,1585 MORSE RD.,Ohio,Franklin,Columbus,Columbus OH,28-04-2016
389953,48,113,69,42101,2,32.820061,-96.860117,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2008,Parts per million,Events Inclucded,6584,75,Y,271,366,0,0,0.0,0.0,Certification not required,0,0.313108,0.204973,2.0,07-12-2008 05:00,2.0,07-12-2008 06:00,1.9,07-12-2008 04:00,1.9,07-12-2008 07:00,2.0,07-12-2008 05:00,1.6,27-11-2008 02:00,1.0,0.9,0.7,0.6,0.4,0.3,0.1,Dallas Hinton,1415 Hinton Street,Texas,Dallas,Dallas,Dallas-Fort Worth-Arlington TX,11-04-2016
390210,4,13,3002,42101,1,33.45793,-112.04601,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1996,Parts per million,No Events,8521,97,Y,352,366,0,0,0.0,0.0,Certification not required,0,1.558139,1.266005,8.4,13-01-1996 01:00,8.1,13-01-1996 02:00,7.8,13-01-1996 00:00,7.7,13-01-1996 03:00,8.4,13-01-1996 01:00,7.5,25-12-1996 05:00,5.9,5.4,4.4,3.4,2.0,1.1,0.5,CENTRAL PHOENIX,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,Phoenix-Mesa-Scottsdale AZ,22-04-2016
394572,42,79,2100,42101,1,41.250278,-75.880278,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1997,Parts per million,No Events,8685,99,Y,359,365,0,0,0.0,0.0,Certified,0,0.647565,0.36845,3.4,21-11-1997 19:00,3.3,21-11-1997 17:00,3.3,21-11-1997 18:00,3.3,21-11-1997 20:00,3.4,21-11-1997 19:00,3.3,16-12-1997 23:00,1.8,1.6,1.3,1.1,0.8,0.6,0.2,A420792100LAT/LON POINT IS AT CORNER OF TRAILER,NORTH RIVER STREET,Pennsylvania,Luzerne,Wilkes-Barre,Scranton--Wilkes-Barre--Hazleton PA,22-04-2016
401078,18,141,13,42101,1,41.676992,-86.251674,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1994,Parts per million,No Events,8101,92,Y,337,365,0,0,0.0,0.0,Certification not required,0,0.836452,0.495992,5.9,27-10-1994 00:00,5.9,27-10-1994 01:00,5.6,27-10-1994 02:00,5.4,26-10-1994 23:00,5.9,27-10-1994 00:00,4.2,22-12-1994 11:00,2.7,2.1,1.7,1.4,1.1,0.7,0.3,LOCATED ON THE FRONT CORNER OF THE WATERWORKS BUILDING,224 N. MAIN ST. WATERWORKS BUILDING,Indiana,St. Joseph,South Bend,South Bend-Mishawaka IN-MI,20-04-2016
404165,4,19,1031,42101,1,32.1912,-110.840582,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2009,Parts per million,No Events,4360,50,Y,182,365,0,0,0.0,0.0,Certification not required,0,0.396789,0.176007,1.1,05-01-2009 21:00,1.1,05-01-2009 22:00,1.0,05-01-2009 20:00,1.0,05-01-2009 23:00,1.1,05-01-2009 21:00,1.0,06-01-2009 20:00,0.9,0.8,0.7,0.6,0.5,0.4,0.2,GOLF LINKS,2601 SOUTH KOLB ROAD,Arizona,Pima,Tucson,Tucson AZ,11-04-2016
406535,39,35,53,42101,1,41.441532,-81.704453,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2001,Parts per million,No Events,8707,99,Y,361,365,0,0,0.0,0.0,Certification not required,0,0.558321,0.357976,2.3,13-02-2001 22:00,2.3,13-02-2001 23:00,2.2,13-02-2001 21:00,2.1,12-01-2001 17:00,2.3,13-02-2001 22:00,2.1,12-01-2001 17:00,1.7,1.5,1.3,1.1,0.7,0.5,0.2,PEARL_RD.,4169 PEARL RD.,Ohio,Cuyahoga,Cleveland,Cleveland-Elyria OH,14-04-2016
426299,4,13,1003,42101,1,33.41045,-111.86507,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2004,Parts per million,No Events,5050,57,Y,210,366,0,0,0.0,0.0,Certified,0,0.461842,0.323649,1.7,08-01-2004 00:00,1.7,08-01-2004 01:00,1.7,08-01-2004 02:00,1.7,15-02-2004 02:00,1.7,08-01-2004 00:00,1.7,15-02-2004 02:00,1.5,1.3,1.1,0.9,0.6,0.4,0.1,MESA,310 S BROOKS MESA,Arizona,Maricopa,Mesa,Phoenix-Mesa-Scottsdale AZ,13-04-2016
431266,35,1,23,42101,1,35.1343,-106.5852,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2000,Parts per million,No Events,8642,98,Y,358,366,0,0,0.0,0.0,Certified,0,0.787931,0.498886,3.4,08-01-2000 01:00,3.4,08-01-2000 02:00,3.3,15-01-2000 02:00,3.3,15-01-2000 03:00,3.4,08-01-2000 01:00,3.3,15-01-2000 02:00,2.5,2.3,1.8,1.4,1.0,0.7,0.3,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,Albuquerque NM,15-04-2016
431656,6,83,2011,42101,1,34.44551,-119.8284,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2005,Parts per million,No Events,8406,96,Y,362,365,0,0,0.0,0.0,Certified,0,0.250678,0.144349,0.8,13-01-2005 12:00,0.8,13-01-2005 13:00,0.8,13-01-2005 14:00,0.8,13-01-2005 15:00,0.8,13-01-2005 12:00,0.8,18-01-2005 13:00,0.6,0.5,0.5,0.4,0.3,0.3,0.0,Goleta,380 N FAIRVIEW AVENUE GOLETA,California,Santa Barbara,Goleta,Santa Maria-Santa Barbara CA,18-04-2016
434582,55,79,26,42101,1,43.060975,-87.913504,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2004,Parts per million,No Events,8674,99,Y,359,366,0,0,0.0,0.0,Certification not required,0,0.409799,0.202676,3.1,14-11-2004 05:00,3.0,15-08-2004 04:00,3.0,15-08-2004 05:00,2.9,14-11-2004 06:00,3.1,14-11-2004 05:00,3.0,15-08-2004 04:00,1.2,0.9,0.7,0.6,0.5,0.3,0.3,MILWAUKEE - SER DNR HDQRS,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,Milwaukee-Waukesha-West Allis WI,14-04-2016
435350,5,119,7,42101,2,34.756189,-92.281296,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,8749,100,Y,365,365,0,0,0.0,0.0,Certified,0,0.465207,0.202733,1.4,08-12-2011 01:00,1.4,08-12-2011 02:00,1.4,08-12-2011 03:00,1.3,01-12-2011 01:00,1.4,08-12-2011 01:00,1.3,01-12-2011 01:00,1.0,0.9,0.8,0.7,0.6,0.4,0.2,PARR,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,Little Rock-North Little Rock-Conway AR,09-04-2016
436369,4,13,3010,42101,1,33.46093,-112.11748,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2004,Parts per million,No Events,8741,100,Y,364,366,0,0,0.0,0.0,Certified,0,1.035923,0.613423,4.9,06-01-2004 10:00,4.9,06-01-2004 11:00,4.7,06-01-2004 09:00,4.7,06-01-2004 12:00,4.9,06-01-2004 10:00,4.3,09-01-2004 08:00,3.1,2.8,2.3,1.9,1.3,0.9,0.4,GREENWOOD,1128 N.  27TH AVE-GREENWOOD STATION,Arizona,Maricopa,Phoenix,Phoenix-Mesa-Scottsdale AZ,13-04-2016
436681,50,7,14,42101,1,44.4762,-73.2106,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2013,Parts per million,No Events,8679,99,Y,362,365,0,0,0.0,0.0,Requested but denied,0,0.406614,0.159388,1.0,08-01-2013 23:00,0.9,08-01-2013 20:00,0.9,08-01-2013 21:00,0.9,08-01-2013 22:00,1.0,08-01-2013 23:00,0.9,20-05-2013 20:00,0.8,0.7,0.7,0.6,0.5,0.4,0.2,City of Burlington Parking Lot,150 SOUTH WINOOSKI AVENUE Burlington Vermont,Vermont,Chittenden,Burlington,Burlington-South Burlington VT,08-04-2016
439541,17,167,8,42101,1,39.799309,-89.647608,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2001,Parts per million,No Events,8678,99,Y,361,365,0,0,0.0,0.0,Certified,0,0.521076,0.226374,3.5,03-11-2001 01:00,3.5,03-11-2001 02:00,3.5,03-11-2001 04:00,3.4,03-11-2001 03:00,3.5,03-11-2001 01:00,2.8,03-11-2001 07:00,1.1,1.0,0.9,0.8,0.6,0.5,0.3,FEDERAL BUILDING,6TH & MONROE,Illinois,Sangamon,Springfield,Springfield IL,14-04-2016
442734,25,25,2,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1999,Parts per million,No Events,8507,97,Y,343,365,0,0,0.0,0.0,Certified,0,0.794181,0.366984,4.2,18-01-1999 04:00,4.2,18-01-1999 05:00,4.1,18-01-1999 03:00,4.1,18-01-1999 06:00,4.2,18-01-1999 04:00,3.6,18-01-1999 09:00,2.1,1.7,1.4,1.2,0.9,0.7,0.4,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,Boston-Cambridge-Newton MA-NH,21-04-2016
442925,39,81,16,42101,1,40.362847,-80.615352,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1999,Parts per million,No Events,8595,98,Y,356,365,0,0,0.0,0.0,Certified,0,0.523293,0.467326,3.2,23-01-1999 01:00,3.0,23-01-1999 00:00,3.0,12-02-1999 00:00,3.0,18-09-1999 10:00,3.2,23-01-1999 01:00,3.0,12-02-1999 00:00,2.3,2.0,1.5,1.1,0.7,0.4,0.1,REPLACES THE ADAMS ST. SITE 390811012,227 NORTH 5TH ST.,Ohio,Jefferson,Steubenville,Weirton-Steubenville WV-OH,19-04-2016
447080,41,51,80,42101,1,45.496641,-122.602877,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2007,Parts per million,No Events,8566,98,Y,356,365,0,0,0.0,0.0,Certification not required,0,0.352767,0.323969,3.1,25-01-2007 02:00,3.1,25-01-2007 03:00,2.9,25-01-2007 01:00,2.9,25-01-2007 04:00,3.1,25-01-2007 02:00,2.7,03-02-2007 03:00,1.9,1.4,0.9,0.7,0.4,0.3,0.1,Portland - SE Lafayette,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,Portland-Vancouver-Hillsboro OR-WA,12-04-2016
447151,27,53,954,42101,1,44.980995,-93.273719,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2012,Parts per million,No Events,8753,100,Y,365,366,0,0,0.0,0.0,Certified,0,0.090255,0.110889,1.3,28-09-2012 04:00,1.2,28-09-2012 03:00,1.2,28-09-2012 05:00,1.2,28-09-2012 06:00,1.3,28-09-2012 04:00,1.1,30-01-2012 18:00,0.5,0.4,0.3,0.2,0.1,0.1,0.0,Arts Center,528 HENNEPIN AVENUE,Minnesota,Hennepin,Minneapolis,Minneapolis-St. Paul-Bloomington MN-WI,09-04-2016
449944,11,1,23,42101,1,38.903889,-77.046389,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2006,Parts per million,No Events,8755,100,Y,365,365,0,0,0.0,0.0,Certified,0,0.769732,0.2381,2.6,16-02-2006 01:00,2.5,16-02-2006 00:00,2.5,16-02-2006 02:00,2.3,15-02-2006 23:00,2.6,16-02-2006 01:00,2.3,17-11-2006 13:00,1.5,1.3,1.2,1.1,0.9,0.7,0.5,Verizon,VERIZON PHONE CO.2055 L ST.  N.W.,District Of Columbia,District of Columbia,Washington,Washington-Arlington-Alexandria DC-VA-MD-WV,12-04-2016
450695,4,19,1014,42101,1,32.20739,-110.910619,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2001,Parts per million,No Events,8680,99,Y,361,365,0,0,0.0,0.0,Certified,0,1.015104,0.480778,3.0,05-01-2001 00:00,3.0,05-01-2001 01:00,2.9,18-01-2001 12:00,2.9,12-02-2001 12:00,3.0,05-01-2001 00:00,2.9,18-01-2001 12:00,2.3,2.2,1.9,1.7,1.3,0.9,0.5,22ND & ALVERNON,22ND & ALVERNON TUCSON,Arizona,Pima,Tucson,Tucson AZ,14-04-2016
463235,40,143,191,42101,1,36.141697,-95.983793,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2003,Parts per million,No Events,8703,99,Y,361,365,0,0,0.0,0.0,Certified,0,0.71149,0.247398,2.4,12-02-2003 01:00,2.3,12-02-2003 00:00,2.3,12-02-2003 02:00,2.2,11-02-2003 23:00,2.4,12-02-2003 01:00,2.2,13-02-2003 02:00,1.5,1.4,1.1,1.0,0.8,0.7,0.5,CINCINNATI,1413 S. CINCINNATI TULSA OK 74119,Oklahoma,Tulsa,Tulsa,Tulsa OK,20-04-2016
463899,22,33,9,42101,1,30.46198,-91.17922,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2007,Parts per million,No Events,8373,96,Y,347,365,0,0,0.0,0.0,Certification not required,0,0.384701,0.253172,1.8,29-04-2007 04:00,1.7,29-04-2007 02:00,1.7,29-04-2007 03:00,1.7,29-04-2007 05:00,1.8,29-04-2007 04:00,1.6,20-10-2007 07:00,1.1,1.0,0.9,0.7,0.5,0.4,0.1,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,Baton Rouge LA,12-04-2016
466457,11,1,43,42101,1,38.921847,-77.013178,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2013,Parts per million,No Events,7682,88,Y,316,365,0,0,0.0,0.0,Requested but not yet concurred,0,0.215413,0.13651,1.2,10-03-2013 05:00,1.2,10-03-2013 06:00,1.2,10-03-2013 07:00,1.1,10-03-2013 04:00,1.2,10-03-2013 05:00,1.0,08-01-2013 01:00,0.7,0.6,0.4,0.3,0.3,0.2,0.0,MCMILLAN  NCore-PAMS,2500 1ST STREET N.W. WASHINGTON DC,District Of Columbia,District of Columbia,Washington,Washington-Arlington-Alexandria DC-VA-MD-WV,08-04-2016
470258,27,123,50,42101,1,44.9558,-93.14585,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1992,Parts per million,No Events,8445,96,Y,350,366,0,0,0.0,0.0,Certified,0,1.699657,0.854775,7.5,02-10-1992 01:00,7.5,25-10-1992 02:00,7.4,25-10-1992 01:00,7.3,02-10-1992 00:00,7.5,02-10-1992 01:00,7.5,25-10-1992 02:00,4.1,3.7,3.2,2.8,2.2,1.6,0.8,Lexington Ave.,1088 WEST UNIVERSITY AVE.,Minnesota,Ramsey,St. Paul,Minneapolis-St. Paul-Bloomington MN-WI,22-04-2016
477309,9,9,25,42101,1,41.309167,-72.923333,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1996,Parts per million,No Events,8298,94,Y,340,366,0,0,0.0,0.0,Certified,0,0.934719,0.385511,3.0,17-10-1996 10:00,2.9,16-02-1996 00:00,2.9,17-10-1996 11:00,2.8,15-02-1996 23:00,3.0,17-10-1996 10:00,2.9,16-02-1996 00:00,2.2,2.0,1.7,1.4,1.1,0.9,0.5,NEW HAVEN,121 ELM STREET,Connecticut,New Haven,New Haven,New Haven-Milford CT,25-04-2016
487739,16,27,6,42101,1,43.579446,-116.561111,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2000,Parts per million,No Events,8720,99,Y,362,366,0,0,0.0,0.0,Certification not required,0,1.621869,0.835418,5.3,30-11-2000 21:00,5.3,30-11-2000 22:00,5.1,20-01-2000 19:00,5.1,30-11-2000 23:00,5.3,30-11-2000 21:00,5.1,20-01-2000 19:00,3.9,3.6,3.2,2.8,2.1,1.5,0.6,MONITOR AT NAMPA PUBLIC LIBRARY  MAX CONCENTRATION CANYON SITE,101 1ST. STREET,Idaho,Canyon,Nampa,Boise City ID,15-04-2016
501391,1,73,23,42101,2,33.553056,-86.815,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,8030,92,Y,340,365,0,0,0.0,0.0,Certification not required,0,0.41396,0.16759,1.3,29-12-2011 08:00,1.2,23-01-2011 04:00,1.2,23-01-2011 05:00,1.2,29-01-2011 07:00,1.3,29-12-2011 08:00,1.2,23-01-2011 04:00,1.0,0.9,0.7,0.6,0.5,0.4,0.3,North Birmingham,NO. B'HAMSOU R.R. 3009 28TH ST. NO.,Alabama,Jefferson,Birmingham,Birmingham-Hoover AL,09-04-2016
502485,39,95,23,42101,1,41.654804,-83.666561,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1997,Parts per million,No Events,8707,99,Y,361,365,0,0,0.0,0.0,Certified,0,0.452142,0.300969,2.1,08-10-1997 01:00,2.0,08-10-1997 00:00,2.0,08-10-1997 02:00,1.9,02-04-1997 07:00,2.1,08-10-1997 01:00,1.9,02-04-1997 07:00,1.4,1.3,1.0,0.8,0.6,0.4,0.1,#14 FIRE STATION- REYNOLDS RD.,1665 N. REYNOLDS,Ohio,Lucas,Toledo,Toledo OH,22-04-2016
502708,48,439,3011,42101,1,32.656357,-97.088585,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2009,Parts per million,No Events,8413,96,Y,349,365,0,0,0.0,0.0,Certified,0,0.232046,0.121373,1.2,22-01-2009 02:00,1.1,22-01-2009 01:00,1.1,22-01-2009 03:00,1.1,22-01-2009 04:00,1.2,22-01-2009 02:00,1.1,01-11-2009 01:00,0.7,0.6,0.4,0.4,0.3,0.2,0.1,Arlington Municipal Airport,5504 South Collins Street,Texas,Tarrant,Arlington,Dallas-Fort Worth-Arlington TX,11-04-2016
508889,48,141,44,42101,1,31.765685,-106.455227,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2006,Parts per million,No Events,8685,99,Y,358,365,0,0,0.0,0.0,Requested but denied,0,0.511215,0.413681,4.9,05-11-2006 01:00,4.8,05-11-2006 02:00,4.4,05-11-2006 00:00,4.2,05-11-2006 03:00,4.9,05-11-2006 01:00,3.8,19-01-2006 02:00,2.3,1.8,1.2,0.9,0.6,0.4,0.2,El Paso Chamizal,800 S San Marcial Street,Texas,El Paso,El Paso,El Paso TX,13-04-2016
523012,42,91,13,42101,1,40.112222,-75.309167,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1997,Parts per million,No Events,8511,97,Y,352,365,0,0,0.0,0.0,Certified,0,0.59167,0.330964,2.3,31-10-1997 00:00,2.2,31-10-1997 01:00,2.2,19-11-1997 01:00,2.2,19-11-1997 02:00,2.3,31-10-1997 00:00,2.2,19-11-1997 01:00,1.5,1.3,1.1,1.0,0.8,0.6,0.1,A420910013LAT/LON POINT IS OF CORNER OF TRAILER,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,22-04-2016
524970,8,1,3001,42101,1,39.838119,-104.94984,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2016,Parts per million,No Events,8295,94,Y,336,366,0,0,0.0,0.0,Certified,0,0.401603,0.196757,1.6,05-01-2016 09:00,1.6,05-01-2016 10:00,1.5,05-01-2016 03:00,1.5,05-01-2016 04:00,1.6,05-01-2016 09:00,1.5,05-01-2016 11:00,1.1,1.0,0.8,0.7,0.5,0.4,0.2,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,Denver-Aurora-Lakewood CO,15-02-2017
527077,40,109,33,42101,1,35.477036,-97.494309,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2009,Parts per million,No Events,8719,100,Y,363,365,0,0,0.0,0.0,Certified,0,0.523294,0.246963,1.5,31-01-2009 04:00,1.5,31-01-2009 05:00,1.4,31-01-2009 02:00,1.4,31-01-2009 03:00,1.5,31-01-2009 04:00,1.2,29-01-2009 21:00,1.0,0.9,0.9,0.8,0.7,0.5,0.2,OKC CENTRAL-OSDH,NE 10TH & STONEWALL,Oklahoma,Oklahoma,Oklahoma City,Oklahoma City OK,11-04-2016
