,Unnamed: 0,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,year,observation_count,observation_percent,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,second_max_value,third_max_value,fourth_max_value,first_max_non_overlapping_value,second_max_non_overlapping_value,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile
61,237381,6,71,1,42101,1,34.895007,-117.024484,1996,8430,96,347,366,0,0,0.0,0.0,0,0.362681,0.320172,2.3,2.3,2.3,2.3,2.3,2.1,1.5,1.3,1.0,0.8,0.5,0.3,0.1
62,240334,36,5,83,42101,1,40.86585,-73.88083,1995,8321,95,346,365,0,0,0.0,0.0,0,0.728362,0.404742,3.7,3.6,3.6,3.6,3.7,3.6,2.3,2.0,1.5,1.2,0.8,0.6,0.4
63,243605,12,86,31,42101,1,25.622049,-80.344255,2010,8486,97,352,365,0,0,0.0,0.0,0,0.384327,0.285488,1.1,1.1,1.1,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.6,0.4,0.0
64,245421,18,89,15,42101,1,41.628647,-87.46143,1990,7486,85,307,365,0,0,0.0,0.0,0,0.853647,0.514749,4.4,4.3,4.3,4.3,4.4,3.8,2.7,2.3,1.8,1.5,1.1,0.7,0.3
65,250991,4,13,19,42101,1,33.48385,-112.14257,2004,8488,97,351,366,0,0,0.0,0.0,0,0.78009,0.789682,5.2,5.2,5.1,5.0,5.2,5.1,3.4,3.0,2.5,2.0,1.1,0.5,0.1
66,260716,26,163,26,42101,1,42.359175,-83.255146,2001,8693,99,361,365,0,0,0.0,0.0,0,0.314126,0.263317,3.8,3.8,3.7,3.7,3.8,2.9,1.2,1.0,0.8,0.6,0.4,0.3,0.1
67,271591,34,7,1001,42101,1,39.68425,-74.861491,1999,8732,100,365,365,0,0,0.0,0.0,0,0.301145,0.124056,1.4,1.3,1.3,1.2,1.4,1.0,0.8,0.6,0.5,0.4,0.4,0.3,0.2
68,274338,50,7,7,42101,1,44.52839,-72.86884,2014,5320,61,216,365,0,0,0.0,0.0,0,0.126109,0.072299,0.6,0.6,0.6,0.5,0.6,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.0
69,275834,6,67,6,42101,1,38.613779,-121.368014,2011,8554,98,354,365,0,0,0.0,0.0,0,0.298843,0.273178,2.3,2.2,2.2,2.2,2.3,2.2,1.5,1.2,0.8,0.6,0.3,0.2,0.1
70,277132,20,209,21,42101,1,39.117219,-94.635605,2003,7054,81,292,365,0,0,0.0,0.0,0,0.548115,0.475179,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.6,1.3,1.1,0.9,0.5,0.0
71,278801,29,95,37,42101,1,39.037778,-94.5875,2001,8571,98,355,365,0,0,0.0,0.0,0,0.521199,0.445546,3.9,3.9,3.8,3.8,3.9,3.6,2.0,1.7,1.4,1.1,0.7,0.4,0.1
72,288562,6,1,2004,42101,1,37.877794,-122.30129,2010,8587,98,350,365,0,0,0.0,0.0,0,0.316886,0.180641,1.5,1.5,1.5,1.4,1.5,1.4,1.0,0.9,0.7,0.6,0.4,0.3,0.2
73,290075,39,151,20,42101,1,40.800729,-81.373008,1998,8649,99,358,365,0,0,0.0,0.0,0,0.705469,0.315234,4.3,4.3,4.1,4.0,4.3,3.5,1.8,1.4,1.2,1.0,0.8,0.7,0.4
74,292227,40,115,9004,42101,1,36.922222,-94.838889,2001,8105,93,336,365,0,0,0.0,0.0,0,0.039149,0.05256,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.0,0.0
75,301717,27,3,600,42101,1,45.07694,-93.2541,1997,7989,91,330,365,0,0,0.0,0.0,0,0.624747,0.244319,2.6,2.5,2.5,2.5,2.6,2.4,1.4,1.3,1.1,0.9,0.7,0.6,0.4
76,304024,4,19,1031,42101,1,32.1912,-110.840582,2015,4346,50,181,365,0,0,0.0,0.0,0,0.309641,0.175158,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.7,0.6,0.5,0.4,0.3,0.1
77,307490,16,1,14,42101,1,43.616379,-116.203817,1997,8011,91,332,365,0,0,0.0,0.0,0,1.521533,0.847403,8.0,7.8,7.7,7.6,8.0,6.2,4.2,3.6,3.1,2.7,2.0,1.3,0.6
78,308390,6,111,2002,42101,1,34.276362,-118.683757,1998,8485,97,349,365,0,0,0.0,0.0,0,0.653353,0.438072,3.5,3.4,3.2,3.2,3.5,2.9,2.2,1.9,1.5,1.3,0.8,0.5,0.2
79,308525,17,31,63,42101,1,41.877682,-87.635027,2007,8530,97,354,365,0,0,0.0,0.0,0,0.449812,0.176635,1.5,1.5,1.5,1.4,1.5,1.4,1.0,0.9,0.8,0.7,0.5,0.4,0.2
80,318854,4,19,1031,42101,1,32.1912,-110.840582,2006,5074,58,212,365,0,0,0.0,0.0,0,0.520733,0.309581,1.8,1.8,1.7,1.7,1.8,1.6,1.4,1.2,1.1,0.9,0.7,0.5,0.1
81,343383,25,13,16,42101,1,42.108992,-72.590803,2002,8676,99,361,365,0,0,0.0,0.0,0,0.705844,0.391455,4.2,4.1,3.9,3.8,4.2,3.3,2.3,1.9,1.3,1.1,0.8,0.7,0.3
82,345154,4,13,4005,42101,1,33.4124,-111.93473,2004,4930,56,205,366,0,0,0.0,0.0,0,0.419777,0.345977,1.9,1.9,1.8,1.7,1.9,1.7,1.5,1.3,1.1,0.9,0.6,0.3,0.0
83,354101,30,13,1025,42101,1,47.496347,-111.294975,1991,8412,96,349,365,0,0,4.0,4.0,0,1.22412,0.92347,10.4,10.1,9.8,9.5,10.4,6.6,4.4,3.6,2.9,2.3,1.7,1.0,0.2
84,356808,11,1,41,42101,1,38.895572,-76.958072,2006,8739,100,363,365,0,0,0.0,0.0,0,1.118389,0.466573,3.4,3.3,3.3,3.3,3.4,3.3,2.6,2.4,1.9,1.7,1.4,1.1,0.6
85,358612,44,7,1010,42101,1,41.841039,-71.36097,2000,7874,90,294,366,0,0,0.0,0.0,0,0.521044,0.28508,2.6,2.5,2.5,2.4,2.6,2.4,1.7,1.4,1.0,0.8,0.6,0.5,0.3
86,362570,4,19,1014,42101,1,32.20739,-110.910619,1991,8398,96,344,365,0,0,0.0,0.0,0,1.9181,0.990841,6.4,6.4,6.1,5.7,6.4,5.7,4.6,4.3,3.8,3.3,2.5,1.8,0.8
87,365778,47,157,21,42101,1,35.217501,-90.019707,1998,8705,99,363,365,0,0,0.0,0.0,0,0.499793,0.549358,4.9,4.9,4.8,4.5,4.9,4.1,2.8,2.3,1.6,1.1,0.6,0.3,0.1
88,366749,11,1,23,42101,1,38.903889,-77.046389,1990,7462,85,301,365,0,0,0.0,0.0,0,1.540847,0.887629,7.5,7.5,7.2,7.1,7.5,7.2,4.5,3.8,3.1,2.6,2.0,1.4,0.6
89,371333,41,51,80,42101,1,45.496641,-122.602877,2000,4316,49,179,366,0,0,0.0,0.0,0,0.593095,0.537031,4.1,4.0,3.9,3.8,4.1,3.8,2.7,2.3,1.7,1.2,0.8,0.4,0.1
90,372744,4,13,16,42101,1,33.49462,-112.13098,2004,8536,97,355,366,0,0,0.0,0.0,0,0.995525,0.769378,4.7,4.7,4.6,4.6,4.7,4.6,3.5,3.2,2.6,2.1,1.3,0.7,0.3
91,373064,6,37,2,42101,1,34.1365,-117.92391,2010,8595,98,353,365,0,0,0.0,0.0,0,0.400349,0.159626,1.4,1.4,1.3,1.3,1.4,1.3,0.9,0.8,0.7,0.6,0.5,0.4,0.2
92,378041,25,25,2,42101,1,42.348873,-71.097163,1994,8610,98,357,365,0,0,0.0,0.0,0,1.14439,0.585708,3.7,3.7,3.7,3.7,3.7,3.7,3.0,2.6,2.2,1.9,1.5,1.0,0.5
93,381099,4,13,3003,42101,1,33.47968,-111.91721,2004,4911,56,204,366,0,0,0.0,0.0,0,0.640073,0.418126,2.4,2.4,2.4,2.3,2.4,2.4,1.9,1.7,1.4,1.2,0.9,0.6,0.1
94,383717,8,77,18,42101,1,39.064289,-108.56155,2016,7768,88,308,366,0,0,0.0,0.0,0,0.26716,0.132088,1.3,1.3,1.2,1.1,1.3,1.0,0.7,0.6,0.5,0.4,0.3,0.2,0.1
95,389867,39,49,5,42101,1,40.060124,-82.976857,1991,8684,99,362,365,0,0,0.0,0.0,0,1.111642,0.770371,6.6,6.6,6.5,6.5,6.6,6.5,3.6,3.0,2.5,2.0,1.4,1.0,0.3
96,389953,48,113,69,42101,2,32.820061,-96.860117,2008,6584,75,271,366,0,0,0.0,0.0,0,0.313108,0.204973,2.0,2.0,1.9,1.9,2.0,1.6,1.0,0.9,0.7,0.6,0.4,0.3,0.1
97,390210,4,13,3002,42101,1,33.45793,-112.04601,1996,8521,97,352,366,0,0,0.0,0.0,0,1.558139,1.266005,8.4,8.1,7.8,7.7,8.4,7.5,5.9,5.4,4.4,3.4,2.0,1.1,0.5
98,394572,42,79,2100,42101,1,41.250278,-75.880278,1997,8685,99,359,365,0,0,0.0,0.0,0,0.647565,0.36845,3.4,3.3,3.3,3.3,3.4,3.3,1.8,1.6,1.3,1.1,0.8,0.6,0.2
99,401078,18,141,13,42101,1,41.676992,-86.251674,1994,8101,92,337,365,0,0,0.0,0.0,0,0.836452,0.495992,5.9,5.9,5.6,5.4,5.9,4.2,2.7,2.1,1.7,1.4,1.1,0.7,0.3
100,404165,4,19,1031,42101,1,32.1912,-110.840582,2009,4360,50,182,365,0,0,0.0,0.0,0,0.396789,0.176007,1.1,1.1,1.0,1.0,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.2
101,406535,39,35,53,42101,1,41.441532,-81.704453,2001,8707,99,361,365,0,0,0.0,0.0,0,0.558321,0.357976,2.3,2.3,2.2,2.1,2.3,2.1,1.7,1.5,1.3,1.1,0.7,0.5,0.2
102,426299,4,13,1003,42101,1,33.41045,-111.86507,2004,5050,57,210,366,0,0,0.0,0.0,0,0.461842,0.323649,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.3,1.1,0.9,0.6,0.4,0.1
103,431266,35,1,23,42101,1,35.1343,-106.5852,2000,8642,98,358,366,0,0,0.0,0.0,0,0.787931,0.498886,3.4,3.4,3.3,3.3,3.4,3.3,2.5,2.3,1.8,1.4,1.0,0.7,0.3
104,431656,6,83,2011,42101,1,34.44551,-119.8284,2005,8406,96,362,365,0,0,0.0,0.0,0,0.250678,0.144349,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.5,0.5,0.4,0.3,0.3,0.0
105,434582,55,79,26,42101,1,43.060975,-87.913504,2004,8674,99,359,366,0,0,0.0,0.0,0,0.409799,0.202676,3.1,3.0,3.0,2.9,3.1,3.0,1.2,0.9,0.7,0.6,0.5,0.3,0.3
106,435350,5,119,7,42101,2,34.756189,-92.281296,2011,8749,100,365,365,0,0,0.0,0.0,0,0.465207,0.202733,1.4,1.4,1.4,1.3,1.4,1.3,1.0,0.9,0.8,0.7,0.6,0.4,0.2
107,436369,4,13,3010,42101,1,33.46093,-112.11748,2004,8741,100,364,366,0,0,0.0,0.0,0,1.035923,0.613423,4.9,4.9,4.7,4.7,4.9,4.3,3.1,2.8,2.3,1.9,1.3,0.9,0.4
108,436681,50,7,14,42101,1,44.4762,-73.2106,2013,8679,99,362,365,0,0,0.0,0.0,0,0.406614,0.159388,1.0,0.9,0.9,0.9,1.0,0.9,0.8,0.7,0.7,0.6,0.5,0.4,0.2
109,439541,17,167,8,42101,1,39.799309,-89.647608,2001,8678,99,361,365,0,0,0.0,0.0,0,0.521076,0.226374,3.5,3.5,3.5,3.4,3.5,2.8,1.1,1.0,0.9,0.8,0.6,0.5,0.3
110,442734,25,25,2,42101,1,42.348873,-71.097163,1999,8507,97,343,365,0,0,0.0,0.0,0,0.794181,0.366984,4.2,4.2,4.1,4.1,4.2,3.6,2.1,1.7,1.4,1.2,0.9,0.7,0.4
111,442925,39,81,16,42101,1,40.362847,-80.615352,1999,8595,98,356,365,0,0,0.0,0.0,0,0.523293,0.467326,3.2,3.0,3.0,3.0,3.2,3.0,2.3,2.0,1.5,1.1,0.7,0.4,0.1
112,447080,41,51,80,42101,1,45.496641,-122.602877,2007,8566,98,356,365,0,0,0.0,0.0,0,0.352767,0.323969,3.1,3.1,2.9,2.9,3.1,2.7,1.9,1.4,0.9,0.7,0.4,0.3,0.1
113,447151,27,53,954,42101,1,44.980995,-93.273719,2012,8753,100,365,366,0,0,0.0,0.0,0,0.090255,0.110889,1.3,1.2,1.2,1.2,1.3,1.1,0.5,0.4,0.3,0.2,0.1,0.1,0.0
114,449944,11,1,23,42101,1,38.903889,-77.046389,2006,8755,100,365,365,0,0,0.0,0.0,0,0.769732,0.2381,2.6,2.5,2.5,2.3,2.6,2.3,1.5,1.3,1.2,1.1,0.9,0.7,0.5
115,450695,4,19,1014,42101,1,32.20739,-110.910619,2001,8680,99,361,365,0,0,0.0,0.0,0,1.015104,0.480778,3.0,3.0,2.9,2.9,3.0,2.9,2.3,2.2,1.9,1.7,1.3,0.9,0.5
116,463235,40,143,191,42101,1,36.141697,-95.983793,2003,8703,99,361,365,0,0,0.0,0.0,0,0.71149,0.247398,2.4,2.3,2.3,2.2,2.4,2.2,1.5,1.4,1.1,1.0,0.8,0.7,0.5
